"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","% Owned"
"Penn State","PSU","DST","","1","FA","App Sat 3:30PM","562","43.23","100%","101.81","6","100%"
"Michigan State","MSU","DST","","2","FA","UtSt Fri 7:00PM","540","38.57","100%","146.32","3","100%"
"Northwestern","NW","DST","","3","FA","@Purd Thu 8:00PM","514","39.54","9%","260.4","4","0%"
"Ohio State","OHSt","DST","","4","FA","OreSt Sat 12:00PM","502","38.62","100%","106.13","9","100%"
"Michigan","Mich","DST","","5","FA","@ND Sat 7:30PM","498","38.31","100%","102.32","9","100%"
"Wisconsin","Wisc","DST","","6","FA","W Ky Fri 9:00PM","479","36.85","100%","45.33","5","100%"
"Iowa","Iowa","DST","","7","FA","NIU Sat 3:30PM","438","31.29","14%","209.52","5","0%"
"Illinois","Ill","DST","","8","FA","Kent Sat 12:00PM","419","34.92","0%","-","5","0%"
"Maryland","MD","DST","","9","FA","Tex Sat 12:00PM","398","33.17","0%","-","5","0%"
"Minnesota","Minn","DST","","10","FA","NMSt Thu 7:00PM","394","30.31","4%","400.14","5","0%"
"Indiana","Ind","DST","","11","FA","@FLInt Sat 7:00PM","372","28.62","4%","348.2","10","0%"
"Nebraska","Neb","DST","","12","FA","Akr Sat 8:00PM","352","27.08","4%","495.5","9","0%"
"Rutgers","Rut","DST","","13","FA","TxSt Sat 12:00PM","324","27","0%","-","9","0%"
"Purdue","Purd","DST","","14","FA","NW Thu 8:00PM","314","26.17","4%","363.9","6","100%"
"Blough, David","Purd","QB,FLX","Sr","15","FA","NW Thu 8:00PM","213.5","21.35","0%","-","6","0%"
"Thorson, Clayton","NW","QB,FLX","Sr","16","FA","@Purd Thu 8:00PM","192.5","14.81","67%","184.23","4","0%"
"Edwards, T.J.","Wisc","LB","Sr","17","FA","W Ky Fri 9:00PM","186.5","14.35","100%","131","5","-"
"Jones, Markell","Purd","RB,FLX","Sr","18","FA","NW Thu 8:00PM","181.5","15.12","7%","-","6","0%"
"Crawford, Jonathan","Ind","DB","Sr","19","FA","@FLInt Sat 7:00PM","178.3","14.86","0%","-","10","-"
"Brooks, Shannon","Minn","RB,FLX","Sr","20","FA","NMSt Thu 7:00PM","162","14.73","0%","-","5","0%"
"Scott, LJ","MSU","RB,FLX","Sr","21","FA","UtSt Fri 7:00PM","139","9.93","100%","111.62","3","0%"
"Young II, Dedrick","Neb","LB","Sr","22","FA","Akr Sat 8:00PM","134","12.18","0%","-","9","-"
"Wharton, Isaiah","Rut","DB","Sr","23","FA","TxSt Sat 12:00PM","129","10.75","0%","-","9","-"
"Hesse, Parker","Iowa","DL","Sr","24","FA","NIU Sat 3:30PM","124.4","8.89","0%","-","5","-"
"Hall, Nate","NW","LB","Sr","25","FA","@Purd Thu 8:00PM","118.5","10.77","0%","-","4","-"
"Akinmoladun, Freedom","Neb","DL","Sr","26","FA","Akr Sat 8:00PM","113.5","14.19","0%","-","9","-"
"Neal, Tre","Neb","DB","Sr","27","WW","Akr Sat 8:00PM","111","11.1","0%","-","9","-"
"Gaglianone, Rafael","Wisc","K","Sr","28","FA","W Ky Fri 9:00PM","110","8.46","100%","172.66","5","0%"
"Orr, Chris","Wisc","LB","Jr","29","FA","W Ky Fri 9:00PM","106","10.6","0%","-","5","-"
"Vault, Solomon","NW","WR,FLX","Sr","30","FA","@Purd Thu 8:00PM","97","7.46","0%","-","4","0%"
"Aniebonam, Jesse","MD","DL","Sr","31","FA","Tex Sat 12:00PM","92.5","9.25","0%","-","5","-"
"Smith, Rodney","Minn","RB,FLX","Sr","32","FA","NMSt Thu 7:00PM","92","7.67","100%","70.77","5","100%"
"Deal, Taiwan","Wisc","RB,FLX","Sr","33","FA","W Ky Fri 9:00PM","91","9.1","0%","-","5","0%"
"Morgan, Teldrick","MD","WR,FLX","Sr","34","FA","Tex Sat 12:00PM","91","10.11","0%","-","5","0%"
"Huff, Julian","Minn","LB","Sr","35","FA","NMSt Thu 7:00PM","89","8.9","0%","-","5","-"
"Austin, Blessuan","Rut","DB","Sr","36","FA","TxSt Sat 12:00PM","88.5","8.85","0%","-","9","-"
"Hester, Kiy","Rut","DB","Sr","37","WW","TxSt Sat 12:00PM","85.5","10.69","0%","-","9","-"
"Morgan Jr., Stanley","Neb","WR,FLX","Sr","38","FA","Akr Sat 8:00PM","78","7.09","100%","61.13","9","100%"
"Reid, John","PSU","DB","Jr","39","FA","App Sat 3:30PM","77.4","6.45","0%","-","6","-"
"Dawkins, Brandon","Ind","QB,FLX","Sr","40","FA","@FLInt Sat 7:00PM","69","13.8","13%","239.01","10","0%"
"Knox, D.J.","Purd","RB,FLX","Sr","41","FA","NW Thu 8:00PM","69","6.9","0%","-","6","0%"
"Brown Jr., Andre","Ind","DB","Jr","42","FA","@FLInt Sat 7:00PM","66","8.25","0%","-","10","-"
"Hampton, Saquan","Rut","DB","Sr","43","FA","TxSt Sat 12:00PM","66","7.33","0%","-","9","-"
